Symbol,Security,GICS Sector,Headquarters Location,Market Cap / B,Revenue (TTM) / B,Profit Margin / %,Earnings per Share (TTM) / $,Price to Earning ratio (TTM),Payout ratio / %,Recommendation Score
MMM,3M,Industrials,"Saint Paul, Minnesota",60.38B,32.75B,-22.59%,-13.32,16.99,61.67%,
AOS,A. O. Smith,Industrials,"Milwaukee, Wisconsin",12.26B,3.8B,7.87%,2.01,41.01,59.70%,2.7
ABT,Abbott,Health Care,"North Chicago, Illinois",191.09B,39.96B,12.92%,2.94,37.44,68.03%,2.0
ABBV,AbbVie,Health Care,"North Chicago, Illinois",273.61B,55.14B,11.81%,3.66,42.46,160.27%,2.3
ACN,Accenture,Information Technology,"Dublin, Ireland",220.02B,64.59B,10.65%,10.77,32.52,43.10%,2.2
ADBE,Adobe Inc.,Information Technology,"San Jose, California",271.63B,19.41B,27.97%,11.81,50.47,0.00%,1.9
AMD,Advanced Micro Devices,Information Technology,"Santa Clara, California",238.17B,22.11B,0.94%,0.10,1.34k,0.00%,1.9
AES,AES Corporation,Utilities,"Arlington, Virginia",12.89B,12.76B,-4.39%,-0.84,,76.26%,2.1
AFL,Aflac,Financials,"Columbus, Georgia",48.21B,19.23B,22.72%,7.30,11.30,22.74%,2.8
A,Agilent Technologies,Health Care,"Santa Clara, California",40.74B,6.83B,18.15%,4.18,33.18,21.48%,2.4
APD,Air Products and Chemicals,Materials,"Allentown, Pennsylvania",60.85B,12.6B,18.26%,10.29,26.58,66.70%,2.3
ABNB,Airbnb,Consumer Discretionary,"San Francisco, California",87.29B,9.6B,56.87%,8.23,16.57,0.00%,2.8
AKAM,Akamai,Information Technology,"Cambridge, Massachusetts",17.85B,3.74B,13.76%,3.31,35.76,0.00%,2.5
ALB,Albemarle Corporation,Materials,"Charlotte, North Carolina",16.96B,9.88B,33.63%,28.22,5.12,5.65%,2.1
ARE,Alexandria Real Estate Equities,Real Estate,"Pasadena, California",22.03B,2.8B,8.80%,1.38,91.86,355.07%,1.5
ALGN,Align Technology,Health Care,"Tempe, Arizona",20.99B,3.81B,9.53%,4.71,58.06,0.00%,2.2
ALLE,Allegion,Industrials,"Dublin, Ireland",11.12B,3.61B,15.41%,6.32,20.05,27.85%,2.8
LNT,Alliant Energy,Utilities,"Madison, Wisconsin",13.09B,4.12B,16.71%,2.73,18.79,65.38%,2.3
ALL,Allstate,Financials,"Northbrook, Illinois",36.63B,55.91B,-3.53%,-7.99,,107.79%,2.2
GOOGL,Alphabet Inc. (Class A),Communication Services,"Mountain View, California",1.76T,297.13B,22.46%,5.23,26.76,0.00%,1.9
GOOG,Alphabet Inc. (Class C),Communication Services,"Mountain View, California",1.76T,297.13B,22.46%,5.22,27.01,0.00%,1.7
MO,Altria,Consumer Staples,"Richmond, Virginia",71.35B,20.56B,42.61%,4.90,8.23,77.55%,2.7
AMZN,Amazon,Consumer Discretionary,"Seattle, Washington",1.57T,554.03B,3.62%,1.91,79.55,0.00%,1.7
